test_setting,mean_score,fold_0,fold_1,fold_2,fold_3,fold_4
trainALL-testALL,0.561130203094,0.549200694828,0.578245548579,0.560047402496,0.57063709043,0.547520279135
trainALl-testSHIT,0.674493890816,0.636942675159,0.769230769231,0.625,0.74025974026,0.60103626943
trainALL-testFILTERED-thresh0.51,0.570002942579,0.560377374639,0.578480665421,0.572973847288,0.571595734277,0.566587091272
trainFILTERED-testALL-thresh0.51,0.555072242001,0.538469043698,0.571925822455,0.56336764852,0.556946154119,0.544652541215
trainFILTERED-testFILTERED-thresh0.51,0.570321166955,0.557816984113,0.577593426471,0.580051910313,0.566261650284,0.569881863593
trainFILTERED-testSHIT-thresh0.51,0.597847018815,0.534246575342,0.7,0.58064516129,0.633802816901,0.540540540541
trainALL-testFILTERED-thresh0.8,0.718545365934,0.71634191889,0.717052699014,0.716101481499,0.72731122055,0.715919509714
trainFILTERED-testALL-thresh0.8,0.414867529465,0.415589838292,0.426684372354,0.413855592607,0.398993960035,0.419213884038
trainFILTERED-testFILTERED-thresh0.8,0.827455348964,0.824057719888,0.821283593763,0.823832935396,0.82414734633,0.843955149443
trainFILTERED-testSHIT-thresh0.8,0.0,0.0,0.0,0.0,0.0,0.0
trainALL-testFILTERED-thresh1,0.807783553082,0.804296355715,0.800935269186,0.823133363726,0.818103731914,0.792449044869
trainFILTERED-testALL-thresh1,0.40186382154,0.394782849064,0.415305104746,0.399372888117,0.386651296021,0.413206969749
trainFILTERED-testFILTERED-thresh1,0.886824698247,0.887587672864,0.874233471207,0.894658252691,0.888009123909,0.889634970566
trainFILTERED-testSHIT-thresh1,0.0,0.0,0.0,0.0,0.0,0.0
